Region,P_Code,Sector,Activity_Type,Organisation,Activity_Description,Start_Date,End_Date,Comments
Boffa,GIN001001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Boffa,GIN001001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Boffa,GIN001001,Gestion des données,Gestion des données,CDC,,,,
Boffa,GIN001001,Gestion des données,Suivi et évaluation,CDC,,,,
Boffa,GIN001001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Boffa,GIN001001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Boké,GIN001002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Boké,GIN001002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Boké,GIN001002,Gestion des données,Gestion des données,CDC,,,,
Boké,GIN001002,Gestion des données,Suivi et évaluation,CDC,,,,
Boké,GIN001002,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Boké,GIN001002,Surveillance & suivi, Surveillance transfrontalière,CDC,"Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",,,
Boké,GIN001002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Boké,GIN001002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Boké,GIN001002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Boké,GIN001002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Conakry,GIN002001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Conakry,GIN002001,Gestion des données,Suivi et évaluation,CDC,,,,
Conakry,GIN002001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Conakry,GIN002001,Surveillance & suivi, Surveillance transfrontalière,CDC,"Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",,,
Conakry,GIN002001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Conakry,GIN002001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Conakry,GIN002001,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Conakry,GIN002001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Conakry,GIN002001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Coyah,GIN005001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Coyah,GIN005001,Gestion des données,Suivi et évaluation,CDC,,,,
Coyah,GIN005001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Coyah,GIN005001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Coyah,GIN005001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Coyah,GIN005001,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Coyah,GIN005001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Coyah,GIN005001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Dabola,GIN003001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Dabola,GIN003001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Dabola,GIN003001,Gestion des données,Gestion des données,CDC,,,,
Dabola,GIN003001,Gestion des données,Suivi et évaluation,CDC,,,,
Dabola,GIN003001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Dabola,GIN003001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Dalaba,GIN007001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Dalaba,GIN007001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Dalaba,GIN007001,Gestion des données,Gestion des données,CDC,,,1/1/2015,
Dalaba,GIN007001,Gestion des données,Suivi et évaluation,CDC,,,,
Dalaba,GIN007001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Dalaba,GIN007001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Dalaba,GIN007001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Dalaba,GIN007001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Dinguiraye,GIN003002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Dinguiraye,GIN003002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Dinguiraye,GIN003002,Gestion des données,Gestion des données,CDC,,,1/1/2015,
Dinguiraye,GIN003002,Gestion des données,Suivi et évaluation,CDC,,,,
Dinguiraye,GIN003002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Dubreka,GIN005002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Dubreka,GIN005002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Dubreka,GIN005002,Gestion des données,Gestion des données,CDC,,,,
Dubreka,GIN005002,Gestion des données,Suivi et évaluation,CDC,,,,
Dubreka,GIN005002,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Dubreka,GIN005002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Dubreka,GIN005002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Dubreka,GIN005002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Dubreka,GIN005002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Faranah,GIN003003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Faranah,GIN003003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Faranah,GIN003003,Gestion des données,Gestion des données,CDC,,,,
Faranah,GIN003003,Gestion des données,Suivi et évaluation,CDC,,,,
Faranah,GIN003003,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Faranah,GIN003003,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Faranah,GIN003003,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Faranah,GIN003003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Forecariah,GIN005003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Forecariah,GIN005003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Forecariah,GIN005003,Gestion des données,Gestion des données,CDC,,,,
Forecariah,GIN005003,Gestion des données,Suivi et évaluation,CDC,,,,
Forecariah,GIN005003,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Forecariah,GIN005003,Surveillance & suivi, Surveillance transfrontalière,CDC,"Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",,,
Forecariah,GIN005003,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Forecariah,GIN005003,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Forecariah,GIN005003,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Forecariah,GIN005003,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Fria,GIN001003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Fria,GIN001003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Fria,GIN001003,Gestion des données,Gestion des données,CDC,,,,
Fria,GIN001003,Gestion des données,Suivi et évaluation,CDC,,,,
Gaoual,GIN001004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Gaoual,GIN001004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Gaoual,GIN001004,Gestion des données,Gestion des données,CDC,,,,
Gaoual,GIN001004,Gestion des données,Suivi et évaluation,CDC,,,,
Guéckédou,GIN008006,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Guéckédou,GIN008006,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Guéckédou,GIN008006,Gestion des données,Gestion des données,CDC,,,,
Guéckédou,GIN008006,Gestion des données,Suivi et évaluation,CDC,,,,
Guéckédou,GIN008006,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Guéckédou,GIN008006,Surveillance & suivi, Surveillance transfrontalière,CDC,"Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",,,
Guéckédou,GIN008006,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Guéckédou,GIN008006,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Guéckédou,GIN008006,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Guéckédou,GIN008006,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Guéckédou,GIN008006,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Kankan,GIN004001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Kankan,GIN004001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Kankan,GIN004001,Gestion des données,Gestion des données,CDC,,,,
Kankan,GIN004001,Gestion des données,Suivi et évaluation,CDC,,,,
Kankan,GIN004001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Kankan,GIN004001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Kankan,GIN004001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Kankan,GIN004001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Kankan,GIN004001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Kérouané,GIN004002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Kérouané,GIN004002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Kérouané,GIN004002,Gestion des données,Gestion des données,CDC,,,,
Kérouané,GIN004002,Gestion des données,Suivi et évaluation,CDC,,,,
Kérouané,GIN004002,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Kérouané,GIN004002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Kérouané,GIN004002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Kérouané,GIN004002,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Kérouané,GIN004002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Kérouané,GIN004002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Kindia,GIN005004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Kindia,GIN005004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Kindia,GIN005004,Gestion des données,Gestion des données,CDC,,,,
Kindia,GIN005004,Gestion des données,Suivi et évaluation,CDC,,,,
Kindia,GIN005004,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Kindia,GIN005004,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Kindia,GIN005004,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Kindia,GIN005004,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Kindia,GIN005004,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Kissidougou,GIN003004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Kissidougou,GIN003004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Kissidougou,GIN003004,Gestion des données,Gestion des données,CDC,,,,
Kissidougou,GIN003004,Gestion des données,Suivi et évaluation,CDC,,,,
Kissidougou,GIN003004,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Kissidougou,GIN003004,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Kissidougou,GIN003004,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Kissidougou,GIN003004,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Koubia,GIN006001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Koubia,GIN006001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Koubia,GIN006001,Gestion des données,Gestion des données,CDC,,,,
Koubia,GIN006001,Gestion des données,Suivi et évaluation,CDC,,,,
Koubia,GIN006001,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Koubia,GIN006001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Koubia,GIN006001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Koubia,GIN006001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Koundara,GIN001005,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Koundara,GIN001005,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Koundara,GIN001005,Gestion des données,Gestion des données,CDC,,,,
Koundara,GIN001005,Gestion des données,Suivi et évaluation,CDC,,,,
Kouroussa,GIN004003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Kouroussa,GIN004003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Kouroussa,GIN004003,Gestion des données,Gestion des données,CDC,,,,
Kouroussa,GIN004003,Gestion des données,Suivi et évaluation,CDC,,,,
Kouroussa,GIN004003,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Kouroussa,GIN004003,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Kouroussa,GIN004003,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Kouroussa,GIN004003,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Kouroussa,GIN004003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Labé,GIN006002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Labé,GIN006002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Labé,GIN006002,Gestion des données,Gestion des données,CDC,,,,
Labé,GIN006002,Gestion des données,Suivi et évaluation,CDC,,,,
Labé,GIN006002,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Labé,GIN006002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Labé,GIN006002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Labé,GIN006002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Labé,GIN006002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Lelouma,GIN006003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Lelouma,GIN006003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Lelouma,GIN006003,Gestion des données,Gestion des données,CDC,,,,
Lelouma,GIN006003,Gestion des données,Suivi et évaluation,CDC,,,,
Lola,GIN008002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Lola,GIN008002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Lola,GIN008002,Gestion des données,Gestion des données,CDC,,,,
Lola,GIN008002,Gestion des données,Suivi et évaluation,CDC,,,,
Lola,GIN008002,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Lola,GIN008002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Lola,GIN008002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Lola,GIN008002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Lola,GIN008002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Macenta,GIN008003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Macenta,GIN008003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Macenta,GIN008003,Gestion des données,Gestion des données,CDC,,,,
Macenta,GIN008003,Gestion des données,Suivi et évaluation,CDC,,,,
Macenta,GIN008003,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Macenta,GIN008003,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Macenta,GIN008003,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Macenta,GIN008003,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Macenta,GIN008003,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Macenta,GIN008003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Mali,GIN006004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Mali,GIN006004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Mali,GIN006004,Gestion des données,Gestion des données,CDC,,,,
Mali,GIN006004,Gestion des données,Suivi et évaluation,CDC,,,,
Mali,GIN006004,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Mali,GIN006004,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Mali,GIN006004,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Mali,GIN006004,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Mamou,GIN007002,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Mamou,GIN007002,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Mamou,GIN007002,Gestion des données,Gestion des données,CDC,,,,
Mamou,GIN007002,Gestion des données,Suivi et évaluation,CDC,,,,
Mamou,GIN007002,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Mamou,GIN007002,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Mamou,GIN007002,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Mamou,GIN007002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Mamou,GIN007002,Surveillance & suivi,Superviseurs de proximité,CDC,Formation de superviseurs de proximite,,,
Mandiana,GIN004004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Mandiana,GIN004004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Mandiana,GIN004004,Gestion des données,Gestion des données,CDC,,,,
Mandiana,GIN004004,Gestion des données,Suivi et évaluation,CDC,,,,
Mandiana,GIN004004,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Mandiana,GIN004004,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Mandiana,GIN004004,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Mandiana,GIN004004,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Mandiana,GIN004004,Surveillance & suivi,Superviseurs de proximité,CDC,Formation de superviseurs de proximite,,,
Conakry,GIN002001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Conakry,GIN002001,Gestion des données,Gestion des données,CDC,,,,
Conakry,GIN002001,Recherche,Appui au comité d'éthique,CDC,,,,
Conakry,GIN002001,Recherche,Appui technique à la recherche,CDC,"Recherche operationnelle sur les nouveaux diagnostiques, traitements et vaccins",,,
Nzérékoré,GIN008004,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Nzérékoré,GIN008004,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Nzérékoré,GIN008004,Gestion des données,Gestion des données,CDC,,,,
Nzérékoré,GIN008004,Gestion des données,Suivi et évaluation,CDC,,,,
Nzérékoré,GIN008004,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Nzérékoré,GIN008004,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Nzérékoré,GIN008004,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Nzérékoré,GIN008004,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Nzérékoré,GIN008004,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Nzérékoré,GIN008004,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
Pita,GIN007003,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Pita,GIN007003,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Pita,GIN007003,Gestion des données,Gestion des données,CDC,,,,
Pita,GIN007003,Gestion des données,Suivi et évaluation,CDC,,,,
Pita,GIN007003,Prise en charge,Prévention et contrôle des infections,CDC,Formation pour agents,,,
Pita,GIN007003,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Pita,GIN007003,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues nationaux,,,
Pita,GIN007003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Credit mensuel de Communication (flotte),,,
Siguiri,GIN004005,Coordination,Appui à  la coordination préfectorale,CDC,,,,
