Region,P_Code,Sector,Activity_Type,Organisation,Activity_Description,Start_Date,End_Date,Comments
Kankan,GIN004001,Communications,Campagne médiatique,Internews,"En collaboration avec Nabaya FM; UNFPA: Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé):",,,
Kankan,GIN004001,Communications,Campagne médiatique,USAID/Save the Children,,,,
Kankan,GIN004001,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2014-12-31,
Kankan,GIN004001,Communications,Campagne médiatique,CRG/FICR,* Emissions interactives en partenariat avec la radio rurale de Kankan                          * Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Kérouané,GIN004002,Communications,Campagne médiatique,UNFPA and OMS,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé); Sensibilisation des population, émission interactives radio rurale locale, publication de bulletin hebdomadaire)",,2014-12-31,
Kérouané,GIN004002,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Kerouane                           * Production et diffusion des théatres radio phoniques,2014-12-15,2015-06-15,
Kindia,GIN005004,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Kindia,GIN005004,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2015-11-01,
Kindia,GIN005004,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Kerouane                           * Production et diffusion des théatres radio phoniques   *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Kissidougou,GIN003004,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé);",,2014-12-31,
Kissidougou,GIN003004,Communications,Campagne médiatique,CRG/FICR,,2014-12-15,2015-06-15,
Koubia,GIN006001,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Kouroussa,GIN004003,Communications,Campagne médiatique,UNFPA,,2014-11-10,2014-12-31,
Kouroussa,GIN004003,Communications,Campagne médiatique,USAID/Save the Children,,,,
Kouroussa,GIN004003,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Kouroussa                           * Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Labé,GIN006002,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Labé,GIN006002,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2015-11-01,
Labé,GIN006002,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Labé                * Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Lola,GIN008003,Communications,Campagne médiatique,PNUD,,,2014-12-31,
Lola,GIN008003,Communications,Campagne médiatique,CRG/FICR,*Emissions interactives en partenariat avec la radio rurale de Macenta                 *Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Macenta,GIN008004,Communications,Campagne médiatique,PNUD,,2014-10-30,2014-12-31,
Macenta,GIN008004,Communications,Campagne médiatique,UNFPA and OMS,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé); Sensibilisation des population, émission interactives radio rurale locale, publication de bulletin hebdomadaire)",,2015-11-01,
Macenta,GIN008004,Communications,Campagne médiatique,CRG/FICR,*Emissions interactives en partenariat avec la radio rurale de Macenta                 *Production et diffusion des théatres radio phoniques *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Mali,GIN006004,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Mamou,GIN007002,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
N'zérékoré,GIN008005,Communications,Campagne médiatique,PNUD,,2014-10-30,2014-12-31,
N'zérékoré,GIN008005,Communications,Campagne médiatique,Internews,"En collaboration avec la radio rurale de Nzerekore, Pacifique FM et Liberte FM",,,
N'zérékoré,GIN008005,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",2014-11-10,2014-12-31,
N'zérékoré,GIN008005,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Nzelékolé  *Production et diffusion des théatres radio phoniques                        *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Pita,GIN007003,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Pita,GIN007003,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Télimélé  *Production et diffusion des théatres radio phoniques                        *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Siguiri,GIN004005,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2014-12-31,
Siguiri,GIN004005,Communications,Campagne médiatique,CRG/FICR,*Emissions interactives en partenariat avec la radio rurale de Macenta                 *Production et diffusion des théatres radio phoniques,2014-12-15,2015-06-15,
Télimélé,GIN005005,Communications,Campagne médiatique,OMS,"Sensibilisation des population, émission interactives radio rurale locale, publication de bulletin hebdomadaire;",,,
Télimélé,GIN005005,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Télimélé,GIN005005,Communications,Campagne médiatique,Internews,En collaboration avec la radio rurale de Telimele;,,,
Télimélé,GIN005005,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Télimélé  *Production et diffusion des théatres radio phoniques                        *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Yomou,GIN008006,Communications,Campagne médiatique,PNUD,,2014-10-30,2014-12-31,
National,GIN,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
National,GIN,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Beyla,GIN008001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Beyla,GIN008001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Boffa,GIN001001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Boffa,GIN001001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Boké,GIN001002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Boké,GIN001002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Conakry,GIN002001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Conakry,GIN002001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Coyah,GIN005001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Coyah,GIN005001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Dabola,GIN003001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Dabola,GIN003001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Dalaba,GIN007001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Dalaba,GIN007001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Dinguiraye,GIN003002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Dinguiraye,GIN003002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Dubréka,GIN005002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Dubréka,GIN005002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Faranah,GIN003003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Faranah,GIN003003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Forecariah,GIN005003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Forecariah,GIN005003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Gaoual,GIN001003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Gaoual,GIN001003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Guéckédou,GIN008002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Guéckédou,GIN008002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Kankan,GIN004001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Kankan,GIN004001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Kérouané,GIN004002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Kérouané,GIN004002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Kindia,GIN005004,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Kindia,GIN005004,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Kissidougou,GIN003004,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Kissidougou,GIN003004,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Koubia,GIN006001,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Koubia,GIN006001,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Koundara,GIN001004,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Koundara,GIN001004,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Kouroussa,GIN004003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Kouroussa,GIN004003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Labé,GIN006002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Labé,GIN006002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Lola,GIN008003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Lola,GIN008003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Macenta,GIN008004,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Macenta,GIN008004,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Mali,GIN006004,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Mali,GIN006004,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Mamou,GIN007002,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Mamou,GIN007002,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
N'zérékoré,GIN008005,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
N'zérékoré,GIN008005,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Pita,GIN007003,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Pita,GIN007003,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Siguiri,GIN004005,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Siguiri,GIN004005,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Télimélé,GIN005005,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Télimélé,GIN005005,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Tougue,GIN006005,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Tougue,GIN006005,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
Yomou,GIN008006,Communications,Appui aux productions artistiques et culturelles,UNFPA,"Production et diffusion sur RTG de 15 sketchs avec la troupe ""grand devis et KabaKoudou""",,2015-01-03,
Yomou,GIN008006,Communications,Appui aux productions artistiques et culturelles,OMS,Appui aux production de Spots TV/Radio,,,
National,GIN,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Beyla,GIN008001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Boffa,GIN001001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Boké,GIN001002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Conakry,GIN002001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Coyah,GIN005001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Dabola,GIN003001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Dalaba,GIN007001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Dinguiraye,GIN003002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Dubréka,GIN005002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Forecariah,GIN005003,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Gaoual,GIN001003,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Guéckédou,GIN008002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Kankan,GIN004001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Kérouané,GIN004002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Kindia,GIN005004,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Kissidougou,GIN003004,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Koubia,GIN006001,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Koundara,GIN001004,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Kouroussa,GIN004003,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Labé,GIN006002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Lola,GIN008003,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Mali,GIN006004,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Mamou,GIN007002,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
N'zérékoré,GIN008005,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Pita,GIN007003,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Siguiri,GIN004005,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Télimélé,GIN005005,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Tougue,GIN006005,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
Yomou,GIN008006,Communications,Reinstallation et reoperationnalisation des 7 equipes regionales de la TV nationale,UNICEF,partenariat avec les 2 stations de la télé nationale (collaboration avec 4 stations de tele privees sans ententes formel).,,2014-12-31,
National,GIN,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,UNICEF,En appui a la Coordination nationale,,2015-01-31,
Beyla,GIN008001,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,UNICEF,(40%) Fouala GAP (60%),,2015-01-31,
Boffa,GIN001001,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,UNICEF,,,2015-01-31,
Boké,GIN001002,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,UNICEF,,,2015-01-31,
Conakry,GIN002001,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,UNICEF,,,2015-01-31,
Coyah,GIN005001,Communications,Remise en etat et appui au fonctionnement des 23 radios rurales et communautaires et la radio mano river.Construction de 4 nouvelles radios rurales. Remise en etat des emetteurs des radios,PLAN,,,2015-01-31,
Dabola,GIN003001,Communications,,,,,,
